"";"NU_IDADE_REFERENCIA";"CO_MUNICIPIO_END";"CO_UF_END";"CO_MUNICIPIO_END";"TP_DEPENDENCIA";"TP_ETAPA_ENSINO";"CO_REGIAO";"CO_MESORREGIAO";"CO_UF";"CO_MUNICIPIO";"CO_DISTRITO"
"90";13;1301902;13;1301902;3;21;1;1303;13;1301902;130190205
"91";9;1301902;13;1301902;3;NA;1;1303;13;1301902;130190205
"92";2;1301902;13;1301902;4;1;1;1303;13;1301902;130190205
"93";15;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"94";5;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"95";5;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"96";18;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"97";4;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"98";5;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"99";24;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"100";13;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"101";5;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"102";17;1301902;13;1301902;3;41;1;1303;13;1301902;130190205
"103";16;1301902;13;1301902;4;39;1;1303;13;1301902;130190205
"104";3;1301902;13;1301902;3;1;1;1303;13;1301902;130190205
"105";3;1301902;13;1301902;3;1;1;1303;13;1301902;130190205
"106";34;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"107";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"108";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"109";22;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"110";11;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"111";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"112";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"113";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"114";20;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"115";18;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"116";11;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"117";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"118";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"119";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"120";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"121";17;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"122";17;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"123";16;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"124";11;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"125";15;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"126";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"127";7;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"128";19;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"129";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"130";13;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"131";13;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"132";23;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"133";15;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"134";29;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"135";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"136";18;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"137";14;1301902;13;1301902;2;41;1;1303;13;1301902;130190205
"138";22;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"139";11;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"140";16;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"141";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"142";16;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"143";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"144";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"145";19;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"146";21;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"147";7;1301902;13;1301902;2;14;1;1303;13;1301902;130190205
"148";17;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"149";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"150";18;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"151";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"152";9;1301902;13;1301902;3;17;1;1303;13;1301902;130190205
"153";14;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"154";12;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"155";41;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"156";10;1301902;13;1301902;3;17;1;1303;13;1301902;130190205
"157";8;1301902;13;1301902;4;15;1;1303;13;1301902;130190205
"158";11;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"159";6;1301902;13;1301902;3;15;1;1303;13;1301902;130190205
"160";17;1301902;13;1301902;3;70;1;1303;13;1301902;130190205
"161";7;1301902;13;1301902;3;15;1;1303;13;1301902;130190205
"162";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"163";8;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"164";9;1301902;13;1301902;3;17;1;1303;13;1301902;130190205
"165";22;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
