"";"IDADE";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"47";"46";0,0129242503506425;0,0129199762902381;0,0128948577215315;0,0128819677301305;0,012857000339097;0,0129238551324459;0,0131301500032405
"48";"47";0,0127058360284096;0,012756885548825;0,0127597170448151;0,0127394129711949;0,012726527123685;0,0127059792038554;0,012776204381793
"49";"48";0,0124491701988376;0,0125414003402067;0,0125986547046622;0,0126059440774619;0,0125857514979983;0,0125771218616481;0,0125608902168259
"50";"49";0,0122079467546157;0,0122881858074412;0,0123860122512177;0,0124469245122383;0,0124539641017598;0,0124380288333709;0,0124336114658018
"51";"50";0,0119645469999062;0,0120384262329764;0,0121243340824343;0,0122250824027289;0,0122852357539681;0,0122964042453591;0,0122849070805615
"52";"51";0,0116771699095816;0,0117866909924563;0,0118663798983944;0,0119554560888911;0,01205472172221;0,0121183290040252;0,0121337989818947
"53";"52";0,0113479670069942;0,0115037726645695;0,0116183693385385;0,0117012211049842;0,0117890077886797;0,0118910501392774;0,0119581012254443
"54";"53";0,0109886279051954;0,01117954718943;0,0113396797734796;0,0114568456629338;0,011538517249103;0,0116291859810121;0,011734012798107
"55";"54";0,010635173269339;0,0108256179191692;0,0110201628573593;0,011182156602493;0,011297662436827;0,0113821828397605;0,0114757906956286
"56";"55";0,0102705693799827;0,010463235550363;0,0106570548475736;0,0108527734381099;0,0110125331602835;0,0111304211275791;0,0112179416645858
"57";"56";0,00988504514835425;0,0100904391607325;0,0102862746493243;0,0104811136800776;0,0106739829127715;0,0108353944885042;0,0109557621714367
"58";"57";0,00949735947851952;0,00971178949181854;0,00991985209814394;0,0101165620763017;0,010308621457887;0,0105024705905446;0,0106655409291194
"59";"58";0,00910875668467523;0,0093309774023464;0,00954765834547638;0,00975628020055884;0,00995017623932288;0,0101430842796446;0,0103380030984008
"60";"59";0,00872895828132269;0,00894931508842754;0,00917344174769295;0,00939035048524347;0,00959595174750078;0,00979054079374153;0,00998437860173317
"61";"60";0,00834129244119628;0,00855946506394083;0,00878137049530854;0,00900517556316564;0,0092187194986544;0,00942451627639446;0,0096197508589285
"62";"61";0,00794651269321194;0,00816307371726576;0,00838233870599534;0,00860360353150705;0,00882363549420154;0,00903688784702622;0,00924276925694163
"63";"62";0,00756814698628514;0,00777678185751562;0,00799425952626127;0,00821278076985672;0,00843029253952974;0,0086497257576091;0,0088628078058936
"64";"63";0,00720210544307597;0,00740652139744876;0,0076160021125717;0,00783262507507021;0,00804743905006789;0,008264324339436;0,00848322887112758
"65";"64";0,00685602745871268;0,00704834591954656;0,00725346927320447;0,00746209681914401;0,00767504624813365;0,00788904440163052;0,0081053783432655
"66";"65";0,00651279503749255;0,00668821934854987;0,00688100743262998;0,00708495846330718;0,00728977063707553;0,00750154445367739;0,00771457420847039
"67";"66";0,0061438633142965;0,00633244219163034;0,00650825800684625;0,00669976419931301;0,00689966037538568;0,00710302841402184;0,0073134704686002
"68";"67";0,00576493246068273;0,00597373593777297;0,00616214677035936;0,00633683731651007;0,00652462961923769;0,00672304700813775;0,00692499921088308
"69";"68";0,005386948475641;0,00560534793732576;0,00581310118987308;0,00599994465310638;0,00617124927276399;0,00635764586358248;0,00655469511535019
"70";"69";0,00504023594061163;0,00523792319694536;0,00545465303534222;0,00566011685389746;0,00584321726814421;0,00601341084252283;0,00619850162044286
"71";"70";0,00468863538248268;0,00487527052556939;0,00507098999458399;0,00528417286139489;0,00548468571653311;0,0056656306861205;0,00583426111634345
"72";"71";0,00435826252710467;0,00451062252976932;0,00469473105438238;0,00488673516435486;0,0050938416239438;0,00529079805398242;0,00546914224152237
"73";"72";0,0040949934046638;0,00419290888926516;0,00434367725175697;0,00452425314562784;0,00471090659771534;0,00491391923634454;0,00510741406658386
"74";"73";0,00387613291399383;0,0039398024775275;0,00403783769321528;0,00418604039643366;0,00436154553420731;0,00454465413219429;0,00474374497569586
"75";"74";0,00368392850872597;0,00372946284691916;0,00379425302098636;0,00389140982024198;0,00403559031899581;0,00420769020751533;0,00438743342020766
"76";"75";0,00349781678133782;0,00351602210864676;0,00356322461145252;0,00362801643894615;0,00372248433894546;0,00386351704787777;0,0040314666016156
"77";"76";0,00326608680997157;0,00331006629426082;0,00333126520573283;0,00337917301422021;0,00344242473077279;0,00353516613658169;0,0036724396527674
"78";"77";0,00300353651445711;0,00309106715223558;0,00313641891498224;0,00315944884455043;0,00320660601290487;0,00326951891442721;0,00336054721022564
"79";"78";0,00272804733426728;0,00284287041808332;0,00292920158590862;0,0029749366335852;0,00299839468495392;0,00304582801216053;0,00310829897313929
"80";"79";0,00249367009684101;0,00258243634940889;0,00269427859023605;0,00277863552460821;0,00282353189454514;0,00284834731857502;0,00289592215542428
"81";"80";0,00225872771272777;0,0023314628706763;0,00241765086489765;0,00252509201421064;0,00260591506075209;0,00265076669499999;0,00267681588459969
"82";"81";0,00201923441055629;0,00208382640003228;0,00215424231053327;0,0022366846996027;0,00233802841220577;0,00241575039392045;0,00246023138778248
"83";"82";0,00181689206691252;0,00186320544258844;0,00192577292192914;0,00199331503720217;0,00207138879656049;0,002167786021341;0,00224249461969598
"84";"83";0,00164091332047321;0,00167677530292404;0,00172217234243617;0,00178227055249183;0,00184632813560428;0,0019209161200754;0,00201261650147284
"85";"84";0,00149082721566589;0,00151451512758898;0,00155008915214601;0,00159410271933756;0,00165111472750652;0,00171247643763863;0,001783730092129
"86";"85";0,00133863916177721;0,00135018099435499;0,00137423323385663;0,0014087394640532;0,00145039998580301;0,00150439840659252;0,00156245622903964
"87";"86";0,00116846556244705;0,0011870509362045;0,00120001021463669;0,00122376304709571;0,00125636646268086;0,00129578741560228;0,00134626369335092
"88";"87";0,00101035834062641;0,00103622701686668;0,00105511601243396;0,0010687327521181;0,00109152789828432;0,00112265632946442;0,00115986020342726
"89";"88";0,000862622056254394;0,000896121823068165;0,000921164671159206;0,00093979953776785;0,000953385430530915;0,000975468972035663;0,00100506861463729
"90";"89";0,000738726038703793;0,000765187258273019;0,000796693893138318;0,000820585636380551;0,000838466552419268;0,000852145847819712;0,000873440511813963
"91";"90+";0,0027878041602738;0,00296634954654508;0,00314577762009659;0,00332998652095698;0,00351061344905799;0,00368458050520558;0,00384955413618823
